CASTOM track file / LorettOrbital 0.0.4
StationName: r8sTest
Station Position: 36.16801° 54.52673° 0.151km
Satellite: NOAA 18
Start date & time: 2022-04-13   08:28:09 UTC
Orbit: 87078
Time (UTC)   Azimuth (deg)   Elevation (deg)

08:28:09   18.11   20.00
08:28:10   18.12   20.13
08:28:11   18.14   20.26
08:28:12   18.15   20.39
08:28:13   18.16   20.52
08:28:14   18.17   20.65
08:28:15   18.18   20.78
08:28:16   18.20   20.92
08:28:17   18.21   21.05
08:28:18   18.22   21.19
08:28:19   18.24   21.32
08:28:20   18.25   21.46
08:28:21   18.26   21.59
08:28:22   18.27   21.73
08:28:23   18.29   21.87
08:28:24   18.30   22.01
08:28:25   18.31   22.15
08:28:26   18.33   22.29
08:28:27   18.34   22.43
08:28:28   18.35   22.57
08:28:29   18.37   22.71
08:28:30   18.38   22.86
08:28:31   18.39   23.00
08:28:32   18.41   23.15
08:28:33   18.42   23.29
08:28:34   18.44   23.44
08:28:35   18.45   23.59
08:28:36   18.46   23.74
08:28:37   18.48   23.88
08:28:38   18.49   24.03
08:28:39   18.51   24.19
08:28:40   18.52   24.34
08:28:41   18.54   24.49
08:28:42   18.55   24.64
08:28:43   18.57   24.80
08:28:44   18.58   24.95
08:28:45   18.60   25.11
08:28:46   18.61   25.27
08:28:47   18.63   25.43
08:28:48   18.64   25.59
08:28:49   18.66   25.75
08:28:50   18.67   25.91
08:28:51   18.69   26.07
08:28:52   18.71   26.23
08:28:53   18.72   26.40
08:28:54   18.74   26.56
08:28:55   18.76   26.73
08:28:56   18.77   26.90
08:28:57   18.79   27.06
08:28:58   18.80   27.23
08:28:59   18.82   27.40
08:29:00   18.84   27.57
08:29:01   18.86   27.75
08:29:02   18.87   27.92
08:29:03   18.89   28.10
08:29:04   18.91   28.27
08:29:05   18.93   28.45
08:29:06   18.94   28.63
08:29:07   18.96   28.81
08:29:08   18.98   28.99
08:29:09   19.00   29.17
08:29:10   19.02   29.35
08:29:11   19.04   29.53
08:29:12   19.05   29.72
08:29:13   19.07   29.90
08:29:14   19.09   30.09
08:29:15   19.11   30.28
08:29:16   19.13   30.47
08:29:17   19.15   30.66
08:29:18   19.17   30.85
08:29:19   19.19   31.05
08:29:20   19.21   31.24
08:29:21   19.23   31.44
08:29:22   19.25   31.64
08:29:23   19.27   31.84
08:29:24   19.30   32.04
08:29:25   19.32   32.24
08:29:26   19.34   32.44
08:29:27   19.36   32.65
08:29:28   19.38   32.85
08:29:29   19.41   33.06
08:29:30   19.43   33.27
08:29:31   19.45   33.48
08:29:32   19.47   33.69
08:29:33   19.50   33.90
08:29:34   19.52   34.12
08:29:35   19.54   34.33
08:29:36   19.57   34.55
08:29:37   19.59   34.77
08:29:38   19.62   34.99
08:29:39   19.64   35.21
08:29:40   19.67   35.44
08:29:41   19.69   35.66
08:29:42   19.72   35.89
08:29:43   19.74   36.12
08:29:44   19.77   36.35
08:29:45   19.80   36.58
08:29:46   19.83   36.81
08:29:47   19.85   37.05
08:29:48   19.88   37.28
08:29:49   19.91   37.52
08:29:50   19.94   37.76
08:29:51   19.97   38.00
08:29:52   20.00   38.25
08:29:53   20.02   38.49
08:29:54   20.05   38.74
08:29:55   20.09   38.99
08:29:56   20.12   39.24
08:29:57   20.15   39.49
08:29:58   20.18   39.75
08:29:59   20.21   40.00
08:30:00   20.24   40.26
08:30:01   20.28   40.52
08:30:02   20.31   40.78
08:30:03   20.34   41.05
08:30:04   20.38   41.31
08:30:05   20.41   41.58
08:30:06   20.45   41.85
08:30:07   20.49   42.12
08:30:08   20.52   42.40
08:30:09   20.56   42.67
08:30:10   20.60   42.95
